Latin Name,Colloquial Name,Taxonomy
lumbricus terrestris,Common Earthworm,"Animalia,Annelida,Clitellata,Oligochaeta,Crassiclitellata,Lumbricina,Lumbricidae,Lumbricus"
sabella spallanzanii,Mediterranean Fanworm,"Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,Sabellida,Sabellidae,Sabellinae,Sabella"
serpula columbiana,Red-trumpet Calcareous Tubeworm,"Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,Sabellida,Serpulidae,Serpula"
spirobranchus cariniferus,Blue Tube Worm,"Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,Sabellida,Serpulidae,Spirobranchus"
eratigena duellica,Giant House Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Rta clade,Marronoid,Agelenidae,Ageleninae,Eratigena,Eratigena atrica"
atypoides riversi,California Turret Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Mygalomorphae,Atypoidea,Antrodiaetidae,Atypoides"
aculepeira ceropegia,Oak Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,Aculepeira"
agalenatea redii,Gorse Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Agalenatea"
araneus bicentenarius,Giant Lichen Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,Araneus"
araneus diadematus,Cross Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,Araneus"
araneus marmoreus,Marbled Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,Araneus"
araneus quadratus,Four-spot Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,Araneus"
araneus trifolium,Shamrock Orbweaver,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Lycaenidae,Polyommatinae,Polyommatini,Zizeeriina,Zizina"
araniella displicata,Six-spotted Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,Araniella"
argiope appensa,Hawaiian Garden Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Argiopinae,Argiope"
argiope argentata,Silver Garden Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Argiopinae,Argiope"
argiope aurantia,Yellow Garden Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Argiopinae,Argiope"
argiope australis,Common Garden Orbweb Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Argiopinae,Argiope"
argiope bruennichi,Wasp Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Argiopinae,Argiope"
argiope keyserlingi,Saint Andrew's Cross Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Argiopinae,Argiope"
argiope lobata,Lobed Argiope,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Argiopinae,Argiope"
argiope trifasciata,Banded Garden Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Argiopinae,Argiope"
austracantha minax,Christmas Jewel Spider,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Gasteracanthinae,Austracantha"
cyclosa conica,Conical Trashline Orbweaver,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Araneidae,Araneinae,Cyclosa"
