Latin Name,Colloquial Name,Taxonomy
colonus hesperus,,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Gophonini,Colonus"
menemerus semilimbatus,,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Chrysillini,Menemerus"
sassacus vitis,,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Dendryphantina,Sassacus"
leucauge argyra,,"Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Araneomorphae,Entelegynae,Araneoidea,Tetragnathidae,Leucauge"
leiobunum rotundum,,"Animalia,Arthropoda,Chelicerata,Arachnida,Opiliones,Eupnoi,Phalangioidea,Sclerosomatidae,Leiobuninae,Leiobunum,Leiobunum rotundum"
leiobunum townsendi,,"Animalia,Arthropoda,Chelicerata,Arachnida,Opiliones,Eupnoi,Phalangioidea,Sclerosomatidae,Leiobuninae,Leiobunum"
paravaejovis puritanus,,"Animalia,Arthropoda,Chelicerata,Arachnida,Scorpiones,Neoscorpionina,Orthosterni,Iurida,Vaejovoidea,Vaejovidae,Syntropinae,Paravaejovis"
carabus coriaceus,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,Caraboidea,Carabidae,Carabinae,Carabini,Carabina,Carabus,Procrustes"
morimus asper,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,Cucujiformia,Cerambycoidea,Cerambycidae,Lamiinae,Phrissomini,Morimus"
clytra laeviuscula,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,Cucujiformia,Chrysomeloidea,Chrysomelidae,Cryptocephalinae,Clytrini,Clytrina,Clytra"
zygogramma signatipennis,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,Cucujiformia,Chrysomeloidea,Chrysomelidae,Chrysomelinae,Doryphorini,Doryphorina,Calligrapha,Zygospila"
trichodes alvearius,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,Cucujiformia,Cleroidea,Cleridae,Clerinae,Trichodes"
epilachna mexicana,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,Cucujiformia,Coccinelloidea,Coccinellidae,Coccinellinae,Epilachnini,Epilachna"
oedemera femorata,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,Cucujiformia,Tenebrionoidea,Oedemeridae,Oedemerinae,Oedemerini,Oedemera"
euphoria basalis,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Cetoniinae,Cetoniini,Cetoniina,Euphoria"
valgus hemipterus,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Cetoniinae,Valgini,Valgus"
eleodes obscura,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,Cucujiformia,Tenebrionoidea,Tenebrionidae,Blaptinae,Amphidorini,Eleodes,Eleodes"
zopherus nodulosus,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,Cucujiformia,Tenebrionoidea,Zopheridae,Zopherinae,Zopherini,Zopherus"
laphria macquarti,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,Orthorrhapha,Asiloidea,Asilidae,Laphriinae,Laphriini,Laphria"
laphria thoracica,,"Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,Orthorrhapha,Asiloidea,Asilidae,Laphriinae,Laphriini,Laphria"
